Match,Date,Teams,Ground,Result
33,03/05/2018,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 6 Wickets
34,04/05/2018,Punjab Kings v Mumbai Indians,Indore,Mumbai Indians won by 6 Wickets
35,05/05/2018,Chennai Super Kings v Royal Challengers Bangalore,Pune,Chennai Super Kings won by 6 Wickets
36,05/05/2018,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 7 Wickets
37,06/05/2018,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 13 Runs
38,06/05/2018,Punjab Kings v Rajasthan Royals,Indore,Punjab Kings won by 6 Wickets
39,07/05/2018,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 5 Runs
40,08/05/2018,Rajasthan Royals v Punjab Kings,Jaipur,Rajasthan Royals won by 15 Runs
41,09/05/2018,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 102 Runs
42,10/05/2018,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 9 Wickets
43,11/05/2018,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 4 Wickets
44,12/05/2018,Punjab Kings v Kolkata Knight Riders,Indore,Kolkata Knight Riders won by 31 Runs
45,12/05/2018,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 5 Wickets
46,13/05/2018,Chennai Super Kings v Sunrisers Hyderabad,Pune,Chennai Super Kings won by 8 Wickets
47,13/05/2018,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 7 Wickets
48,14/05/2018,Punjab Kings v Royal Challengers Bangalore,Indore,Royal Challengers Bangalore won by 10 Wickets
49,15/05/2018,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 6 Wickets
50,16/05/2018,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 3 Runs
51,17/05/2018,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 14 Runs
52,18/05/2018,Delhi Capitals v Chennai Super Kings,Delhi,Delhi Capitals won by 34 Runs
53,19/05/2018,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 30 Runs
54,19/05/2018,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 5 Wickets
55,20/05/2018,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 11 Runs
56,20/05/2018,Chennai Super Kings v Punjab Kings,Pune,Chennai Super Kings won by 5 Wickets
1st Qualifying Final,22/05/2018,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Chennai Super Kings won by 2 Wickets
1st Elimination Final,23/05/2018,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Kolkata Knight Riders won by 25 Runs
2nd Qualifying Final,25/05/2018,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Sunrisers Hyderabad won by 14 Runs
Final,27/05/2018,Chennai Super Kings v Sunrisers Hyderabad,Mumbai,Chennai Super Kings won by 8 Wickets
1,23/03/2019,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 7 Wickets
2,24/03/2019,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 6 Wickets
3,24/03/2019,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 37 Runs
4,25/03/2019,Rajasthan Royals v Punjab Kings,Jaipur,Punjab Kings won by 14 Runs
5,26/03/2019,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 6 Wickets
6,27/03/2019,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 28 Runs
7,28/03/2019,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 6 Runs
8,29/03/2019,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 5 Wickets
10,30/03/2019,Delhi Capitals v Kolkata Knight Riders,Delhi,Match tied (Delhi Capitals won eliminator)
9,30/03/2019,Punjab Kings v Mumbai Indians,"Mohali, Chandigarh",Punjab Kings won by 8 Wickets
11,31/03/2019,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 118 Runs
12,31/03/2019,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 8 Runs
13,01/04/2019,Punjab Kings v Delhi Capitals,"Mohali, Chandigarh",Punjab Kings won by 14 Runs
14,02/04/2019,Rajasthan Royals v Royal Challengers Bangalore,Jaipur,Rajasthan Royals won by 7 Wickets
15,03/04/2019,Mumbai Indians v Chennai Super Kings,Mumbai,Mumbai Indians won by 37 Runs
16,04/04/2019,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 5 Wickets
17,05/04/2019,Royal Challengers Bangalore v Kolkata Knight Riders,"Bengaluru, Bangalore",Kolkata Knight Riders won by 5 Wickets
18,06/04/2019,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 22 Runs
19,06/04/2019,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 40 Runs
20,07/04/2019,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Delhi Capitals won by 4 Wickets
21,07/04/2019,Rajasthan Royals v Kolkata Knight Riders,Jaipur,Kolkata Knight Riders won by 8 Wickets
22,08/04/2019,Punjab Kings v Sunrisers Hyderabad,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets
23,09/04/2019,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 7 Wickets
24,10/04/2019,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 3 Wickets
25,11/04/2019,Rajasthan Royals v Chennai Super Kings,Jaipur,Chennai Super Kings won by 4 Wickets
26,12/04/2019,Kolkata Knight Riders v Delhi Capitals,Kolkata,Delhi Capitals won by 7 Wickets
27,13/04/2019,Mumbai Indians v Rajasthan Royals,Mumbai,Rajasthan Royals won by 4 Wickets
28,13/04/2019,Punjab Kings v Royal Challengers Bangalore,"Mohali, Chandigarh",Royal Challengers Bangalore won by 8 Wickets
29,14/04/2019,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Chennai Super Kings won by 5 Wickets
30,14/04/2019,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Delhi Capitals won by 39 Runs
31,15/04/2019,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 5 Wickets
32,16/04/2019,Punjab Kings v Rajasthan Royals,"Mohali, Chandigarh",Punjab Kings won by 12 Runs
33,17/04/2019,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Sunrisers Hyderabad won by 6 Wickets
34,18/04/2019,Delhi Capitals v Mumbai Indians,Delhi,Mumbai Indians won by 40 Runs
35,19/04/2019,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 10 Runs
36,20/04/2019,Rajasthan Royals v Mumbai Indians,Jaipur,Rajasthan Royals won by 5 Wickets
37,20/04/2019,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 5 Wickets
38,21/04/2019,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 9 Wickets
39,21/04/2019,Royal Challengers Bangalore v Chennai Super Kings,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 1 Run
40,22/04/2019,Rajasthan Royals v Delhi Capitals,Jaipur,Delhi Capitals won by 6 Wickets
41,23/04/2019,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 6 Wickets
42,24/04/2019,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 17 Runs
43,25/04/2019,Kolkata Knight Riders v Rajasthan Royals,Kolkata,Rajasthan Royals won by 3 Wickets
44,26/04/2019,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 46 Runs
45,27/04/2019,Rajasthan Royals v Sunrisers Hyderabad,Jaipur,Rajasthan Royals won by 7 Wickets
46,28/04/2019,Delhi Capitals v Royal Challengers Bangalore,Delhi,Delhi Capitals won by 16 Runs
47,28/04/2019,Kolkata Knight Riders v Mumbai Indians,Kolkata,Kolkata Knight Riders won by 34 Runs
48,29/04/2019,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 45 Runs
49,30/04/2019,Royal Challengers Bangalore v Rajasthan Royals,"Bengaluru, Bangalore",No result
50,01/05/2019,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 80 Runs
51,02/05/2019,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Match tied (Mumbai Indians won eliminator)
52,03/05/2019,Punjab Kings v Kolkata Knight Riders,"Mohali, Chandigarh",Kolkata Knight Riders won by 7 Wickets
53,04/05/2019,Delhi Capitals v Rajasthan Royals,Delhi,Delhi Capitals won by 5 Wickets
54,04/05/2019,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 4 Wickets
55,05/05/2019,Punjab Kings v Chennai Super Kings,"Mohali, Chandigarh",Punjab Kings won by 6 Wickets
56,05/05/2019,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 9 Wickets
1st Qualifying Final,07/05/2019,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 6 Wickets
Elimination Final,08/05/2019,Delhi Capitals v Sunrisers Hyderabad,Visakhapatnam,Delhi Capitals won by 2 Wickets
2nd Qualifying Final,10/05/2019,Chennai Super Kings v Delhi Capitals,Visakhapatnam,Chennai Super Kings won by 6 Wickets
Final,12/05/2019,Chennai Super Kings v Mumbai Indians,Hyderabad,Mumbai Indians won by 1 Run
1,19/09/2020,Chennai Super Kings v Mumbai Indians,Abu Dhabi,Chennai Super Kings won by 5 Wickets
2,20/09/2020,Delhi Capitals v Punjab Kings,Dubai,Match tied (Delhi Capitals won eliminator)
3,21/09/2020,Royal Challengers Bangalore v Sunrisers Hyderabad,Dubai,Royal Challengers Bangalore won by 10 Runs
4,22/09/2020,Chennai Super Kings v Rajasthan Royals,Sharjah,Rajasthan Royals won by 16 Runs
5,23/09/2020,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 49 Runs
6,24/09/2020,Punjab Kings v Royal Challengers Bangalore,Dubai,Punjab Kings won by 97 Runs
7,25/09/2020,Chennai Super Kings v Delhi Capitals,Dubai,Delhi Capitals won by 44 Runs
8,26/09/2020,Kolkata Knight Riders v Sunrisers Hyderabad,Abu Dhabi,Kolkata Knight Riders won by 7 Wickets
9,27/09/2020,Punjab Kings v Rajasthan Royals,Sharjah,Rajasthan Royals won by 4 Wickets
10,28/09/2020,Mumbai Indians v Royal Challengers Bangalore,Dubai,Match tied (Royal Challengers Bangalore won eliminator)
11,29/09/2020,Delhi Capitals v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 15 Runs
12,30/09/2020,Kolkata Knight Riders v Rajasthan Royals,Dubai,Kolkata Knight Riders won by 37 Runs
13,01/10/2020,Punjab Kings v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 48 Runs
14,02/10/2020,Chennai Super Kings v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 7 Runs
15,03/10/2020,Royal Challengers Bangalore v Rajasthan Royals,Abu Dhabi,Royal Challengers Bangalore won by 8 Wickets
16,03/10/2020,Delhi Capitals v Kolkata Knight Riders,Sharjah,Delhi Capitals won by 18 Runs
17,04/10/2020,Mumbai Indians v Sunrisers Hyderabad,Sharjah,Mumbai Indians won by 34 Runs
18,04/10/2020,Chennai Super Kings v Punjab Kings,Dubai,Chennai Super Kings won by 10 Wickets
19,05/10/2020,Delhi Capitals v Royal Challengers Bangalore,Dubai,Delhi Capitals won by 59 Runs
20,06/10/2020,Mumbai Indians v Rajasthan Royals,Abu Dhabi,Mumbai Indians won by 57 Runs
21,07/10/2020,Chennai Super Kings v Kolkata Knight Riders,Abu Dhabi,Kolkata Knight Riders won by 10 Runs
22,08/10/2020,Punjab Kings v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 69 Runs
23,09/10/2020,Delhi Capitals v Rajasthan Royals,Sharjah,Delhi Capitals won by 46 Runs
24,10/10/2020,Kolkata Knight Riders v Punjab Kings,Abu Dhabi,Kolkata Knight Riders won by 2 Runs
25,10/10/2020,Chennai Super Kings v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 37 Runs
26,11/10/2020,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Rajasthan Royals won by 5 Wickets
27,11/10/2020,Delhi Capitals v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 5 Wickets
28,12/10/2020,Kolkata Knight Riders v Royal Challengers Bangalore,Sharjah,Royal Challengers Bangalore won by 82 Runs
29,13/10/2020,Chennai Super Kings v Sunrisers Hyderabad,Dubai,Chennai Super Kings won by 20 Runs
30,14/10/2020,Delhi Capitals v Rajasthan Royals,Dubai,Delhi Capitals won by 13 Runs
31,15/10/2020,Punjab Kings v Royal Challengers Bangalore,Sharjah,Punjab Kings won by 8 Wickets
32,16/10/2020,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Mumbai Indians won by 8 Wickets
33,17/10/2020,Royal Challengers Bangalore v Rajasthan Royals,Dubai,Royal Challengers Bangalore won by 7 Wickets
34,17/10/2020,Chennai Super Kings v Delhi Capitals,Sharjah,Delhi Capitals won by 5 Wickets
35,18/10/2020,Kolkata Knight Riders v Sunrisers Hyderabad,Abu Dhabi,Match tied (Kolkata Knight Riders won eliminator)
36,18/10/2020,Punjab Kings v Mumbai Indians,Dubai,Match tied (Punjab Kings won eliminator)
37,19/10/2020,Chennai Super Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets
38,20/10/2020,Delhi Capitals v Punjab Kings,Dubai,Punjab Kings won by 5 Wickets
39,21/10/2020,Kolkata Knight Riders v Royal Challengers Bangalore,Abu Dhabi,Royal Challengers Bangalore won by 8 Wickets
40,22/10/2020,Rajasthan Royals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 8 Wickets
41,23/10/2020,Chennai Super Kings v Mumbai Indians,Sharjah,Mumbai Indians won by 10 Wickets
42,24/10/2020,Delhi Capitals v Kolkata Knight Riders,Abu Dhabi,Kolkata Knight Riders won by 59 Runs
43,24/10/2020,Punjab Kings v Sunrisers Hyderabad,Dubai,Punjab Kings won by 12 Runs
44,25/10/2020,Chennai Super Kings v Royal Challengers Bangalore,Dubai,Chennai Super Kings won by 8 Wickets
45,25/10/2020,Mumbai Indians v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 8 Wickets
46,26/10/2020,Kolkata Knight Riders v Punjab Kings,Sharjah,Punjab Kings won by 8 Wickets
47,27/10/2020,Delhi Capitals v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 88 Runs
48,28/10/2020,Mumbai Indians v Royal Challengers Bangalore,Abu Dhabi,Mumbai Indians won by 5 Wickets
49,29/10/2020,Chennai Super Kings v Kolkata Knight Riders,Dubai,Chennai Super Kings won by 6 Wickets
50,30/10/2020,Punjab Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets
51,31/10/2020,Delhi Capitals v Mumbai Indians,Dubai,Mumbai Indians won by 9 Wickets
52,31/10/2020,Royal Challengers Bangalore v Sunrisers Hyderabad,Sharjah,Sunrisers Hyderabad won by 5 Wickets
53,01/11/2020,Chennai Super Kings v Punjab Kings,Abu Dhabi,Chennai Super Kings won by 9 Wickets
54,01/11/2020,Kolkata Knight Riders v Rajasthan Royals,Dubai,Kolkata Knight Riders won by 60 Runs
55,02/11/2020,Delhi Capitals v Royal Challengers Bangalore,Abu Dhabi,Delhi Capitals won by 6 Wickets
56,03/11/2020,Mumbai Indians v Sunrisers Hyderabad,Sharjah,Sunrisers Hyderabad won by 10 Wickets
1st Qualifying Final,05/11/2020,Delhi Capitals v Mumbai Indians,Dubai,Mumbai Indians won by 57 Runs
Elimination Final,06/11/2020,Royal Challengers Bangalore v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 6 Wickets
2nd Qualifying Final,08/11/2020,Delhi Capitals v Sunrisers Hyderabad,Abu Dhabi,Delhi Capitals won by 17 Runs
Final,10/11/2020,Delhi Capitals v Mumbai Indians,Dubai,Mumbai Indians won by 5 Wickets
1,09/04/2021,Mumbai Indians v Royal Challengers Bangalore,Chennai,Royal Challengers Bangalore won by 2 Wickets
2,10/04/2021,Chennai Super Kings v Delhi Capitals,Mumbai,Delhi Capitals won by 7 Wickets
3,11/04/2021,Kolkata Knight Riders v Sunrisers Hyderabad,Chennai,Kolkata Knight Riders won by 10 Runs
4,12/04/2021,Punjab Kings v Rajasthan Royals,Mumbai,Punjab Kings won by 4 Runs
5,13/04/2021,Kolkata Knight Riders v Mumbai Indians,Chennai,Mumbai Indians won by 10 Runs
6,14/04/2021,Royal Challengers Bangalore v Sunrisers Hyderabad,Chennai,Royal Challengers Bangalore won by 6 Runs
