Match,Date,Teams,Ground,Result
42,28/09/2021,Mumbai Indians v Punjab Kings,Abu Dhabi,Mumbai Indians won by 6 Wickets
43,29/09/2021,Rajasthan Royals v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets
44,30/09/2021,Chennai Super Kings v Sunrisers Hyderabad,Sharjah,Chennai Super Kings won by 6 Wickets
45,01/10/2021,Kolkata Knight Riders v Punjab Kings,Dubai,Punjab Kings won by 5 Wickets
46,02/10/2021,Delhi Capitals v Mumbai Indians,Sharjah,Delhi Capitals won by 4 Wickets
47,02/10/2021,Chennai Super Kings v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 7 Wickets
48,03/10/2021,Punjab Kings v Royal Challengers Bangalore,Sharjah,Royal Challengers Bangalore won by 6 Runs
49,03/10/2021,Kolkata Knight Riders v Sunrisers Hyderabad,Dubai,Kolkata Knight Riders won by 6 Wickets
50,04/10/2021,Chennai Super Kings v Delhi Capitals,Dubai,Delhi Capitals won by 3 Wickets
51,05/10/2021,Mumbai Indians v Rajasthan Royals,Sharjah,Mumbai Indians won by 8 Wickets
52,06/10/2021,Royal Challengers Bangalore v Sunrisers Hyderabad,Abu Dhabi,Sunrisers Hyderabad won by 4 Runs
53,07/10/2021,Chennai Super Kings v Punjab Kings,Dubai,Punjab Kings won by 6 Wickets
54,07/10/2021,Kolkata Knight Riders v Rajasthan Royals,Sharjah,Kolkata Knight Riders won by 86 Runs
55,08/10/2021,Mumbai Indians v Sunrisers Hyderabad,Abu Dhabi,Mumbai Indians won by 42 Runs
56,08/10/2021,Delhi Capitals v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets
1st Qualifying Final,10/10/2021,Chennai Super Kings v Delhi Capitals,Dubai,Chennai Super Kings won by 4 Wickets
1st Elimination Final,11/10/2021,Kolkata Knight Riders v Royal Challengers Bangalore,Sharjah,Kolkata Knight Riders won by 4 Wickets
2nd Qualifying Final,13/10/2021,Delhi Capitals v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 3 Wickets
Final,15/10/2021,Chennai Super Kings v Kolkata Knight Riders,Dubai,Chennai Super Kings won by 27 Runs
