Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
60,2013-05-12,Kolkata Knight Riders v Royal Challengers Bangalore,Ranchi,Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5 Wickets,Won
61,2013-05-12,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,5 Wickets,Won
62,2013-05-13,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 7 Wickets,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,7 Wickets,Won
63,2013-05-14,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 7 Wickets,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,7 Wickets,Won
64,2013-05-14,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 33 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,33 Runs,Lost
65,2013-05-15,Kolkata Knight Riders v Pune Warriors,Ranchi,Pune Warriors won by 7 Runs,Kolkata Knight Riders,Pune Warriors,Pune Warriors,7 Runs,Lost
66,2013-05-15,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 14 Runs,Mumbai Indians,Rajasthan Royals,Mumbai Indians,14 Runs,Lost
67,2013-05-16,Punjab Kings v Delhi Capitals,Dharamsala,Punjab Kings won by 7 Runs,Punjab Kings,Delhi Capitals,Punjab Kings,7 Runs,Lost
68,2013-05-17,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 23 Runs,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,23 Runs,Lost
69,2013-05-18,Punjab Kings v Mumbai Indians,Dharamsala,Punjab Kings won by 50 Runs,Punjab Kings,Mumbai Indians,Punjab Kings,50 Runs,Lost
70,2013-05-18,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Royal Challengers Bangalore won by 24 Runs,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,24 Runs,Lost
71,2013-05-19,Pune Warriors v Delhi Capitals,Pune,Pune Warriors won by 38 Runs,Pune Warriors,Delhi Capitals,Pune Warriors,38 Runs,Lost
72,2013-05-19,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,5 Wickets,Won
1st Qualifying Final,2013-05-21,Chennai Super Kings v Mumbai Indians,Delhi,Chennai Super Kings won by 48 Runs,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,48 Runs,Lost
Elimination Final,2013-05-22,Rajasthan Royals v Sunrisers Hyderabad,Delhi,Rajasthan Royals won by 4 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,4 Wickets,Won
2nd Qualifying Final,2013-05-24,Mumbai Indians v Rajasthan Royals,Kolkata,Mumbai Indians won by 4 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,4 Wickets,Won
Final,2013-05-26,Chennai Super Kings v Mumbai Indians,Kolkata,Mumbai Indians won by 23 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,23 Runs,Lost
1,2014-04-16,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Kolkata Knight Riders won by 41 Runs,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,41 Runs,Lost
2,2014-04-17,Royal Challengers Bangalore v Delhi Capitals,Sharjah,Royal Challengers Bangalore won by 8 Wickets,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,8 Wickets,Won
3,2014-04-18,Chennai Super Kings v Punjab Kings,Abu Dhabi,Punjab Kings won by 6 Wickets,Chennai Super Kings,Punjab Kings,Punjab Kings,6 Wickets,Won
4,2014-04-18,Sunrisers Hyderabad v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 4 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4 Wickets,Won
5,2014-04-19,Mumbai Indians v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7 Wickets,Won
6,2014-04-19,Kolkata Knight Riders v Delhi Capitals,Dubai,Delhi Capitals won by 4 Wickets,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,4 Wickets,Won
7,2014-04-20,Rajasthan Royals v Punjab Kings,Sharjah,Punjab Kings won by 7 Wickets,Rajasthan Royals,Punjab Kings,Punjab Kings,7 Wickets,Won
8,2014-04-21,Chennai Super Kings v Delhi Capitals,Abu Dhabi,Chennai Super Kings won by 93 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,93 Runs,Lost
9,2014-04-22,Punjab Kings v Sunrisers Hyderabad,Sharjah,Punjab Kings won by 72 Runs,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,72 Runs,Lost
10,2014-04-23,Chennai Super Kings v Rajasthan Royals,Dubai,Chennai Super Kings won by 7 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7 Runs,Lost
11,2014-04-24,Royal Challengers Bangalore v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 2 Runs,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2 Runs,Lost
12,2014-04-25,Sunrisers Hyderabad v Delhi Capitals,Dubai,Sunrisers Hyderabad won by 4 Runs,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,4 Runs,Lost
13,2014-04-25,Chennai Super Kings v Mumbai Indians,Dubai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,7 Wickets,Won
14,2014-04-26,Royal Challengers Bangalore v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 6 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,6 Wickets,Won
15,2014-04-26,Kolkata Knight Riders v Punjab Kings,Abu Dhabi,Punjab Kings won by 23 Runs,Kolkata Knight Riders,Punjab Kings,Punjab Kings,23 Runs,Lost
16,2014-04-27,Delhi Capitals v Mumbai Indians,Sharjah,Delhi Capitals won by 6 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,6 Wickets,Won
17,2014-04-27,Sunrisers Hyderabad v Chennai Super Kings,Sharjah,Chennai Super Kings won by 5 Wickets,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,5 Wickets,Won
18,2014-04-28,Punjab Kings v Royal Challengers Bangalore,Dubai,Punjab Kings won by 5 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,5 Wickets,Won
19,2014-04-29,Kolkata Knight Riders v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by Boundary Count,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Boundary Count,Lost
20,2014-04-30,Mumbai Indians v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 15 Runs,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,15 Runs,Lost
21,2014-05-02,Chennai Super Kings v Kolkata Knight Riders,Ranchi,Chennai Super Kings won by 34 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,34 Runs,Lost
22,2014-05-03,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Punjab Kings,Mumbai Indians,5 Wickets,Won
23,2014-05-03,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 7 Wickets,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
24,2014-05-04,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 4 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,4 Wickets,Won
25,2014-05-05,Rajasthan Royals v Kolkata Knight Riders,Ahmedabad,Rajasthan Royals won by 10 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,10 Runs,Lost
26,2014-05-05,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 8 Wickets,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,8 Wickets,Won
