Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
28,2015-04-28,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 2 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 Runs,Lost
30,2015-04-30,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,7 Wickets,Won
31,2015-05-01,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 9 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,9 Wickets,Won
32,2015-05-01,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 8 Runs,Mumbai Indians,Rajasthan Royals,Mumbai Indians,8 Runs,Lost
33,2015-05-02,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,7 Wickets,Won
34,2015-05-02,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Sunrisers Hyderabad won by 22 Runs,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,22 Runs,Lost
35,2015-05-03,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 23 Runs,Punjab Kings,Mumbai Indians,Mumbai Indians,23 Runs,Lost
36,2015-05-03,Rajasthan Royals v Delhi Capitals,Mumbai,Rajasthan Royals won by 14 Runs,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,14 Runs,Lost
37,2015-05-04,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 24 Runs,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,24 Runs,Lost
38,2015-05-04,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 35 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,35 Runs,Lost
39,2015-05-05,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Delhi Capitals,Mumbai Indians,5 Wickets,Won
40,2015-05-06,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Royal Challengers Bangalore won by 138 Runs,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,138 Runs,Lost
41,2015-05-07,Rajasthan Royals v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 7 Runs,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Runs,Lost
42,2015-05-07,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 13 Runs,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,13 Runs,Lost
43,2015-05-08,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 6 Wickets,Chennai Super Kings,Mumbai Indians,Mumbai Indians,6 Wickets,Won
44,2015-05-09,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 1 Wicket,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,1 Wicket,Won
45,2015-05-09,Delhi Capitals v Sunrisers Hyderabad,Raipur,Sunrisers Hyderabad won by 6 Runs,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Runs,Lost
46,2015-05-10,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 39 Runs,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,39 Runs,Lost
47,2015-05-10,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 12 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,12 Runs,Lost
48,2015-05-11,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5 Runs,Lost
49,2015-05-12,Delhi Capitals v Chennai Super Kings,Raipur,Delhi Capitals won by 6 Wickets,Delhi Capitals,Chennai Super Kings,Delhi Capitals,6 Wickets,Won
50,2015-05-13,Punjab Kings v Royal Challengers Bangalore,Mohali,Punjab Kings won by 22 Runs,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,22 Runs,Lost
51,2015-05-14,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 5 Runs,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,5 Runs,Lost
52,2015-05-15,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Royal Challengers Bangalore won by 6 Wickets [D/L],Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,6 Wickets [D/L],Won
53,2015-05-16,Punjab Kings v Chennai Super Kings,Mohali,Chennai Super Kings won by 7 Wickets,Punjab Kings,Chennai Super Kings,Chennai Super Kings,7 Wickets,Won
54,2015-05-16,Rajasthan Royals v Kolkata Knight Riders,Mumbai,Rajasthan Royals won by 9 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,9 Runs,Lost
56,2015-05-17,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 9 Wickets,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,9 Wickets,Won
1st Qualifying Final,2015-05-19,Chennai Super Kings v Mumbai Indians,Mumbai,Mumbai Indians won by 25 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,25 Runs,Lost
1st Elimination Final,2015-05-20,Royal Challengers Bangalore v Rajasthan Royals,Pune,Royal Challengers Bangalore won by 71 Runs,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,71 Runs,Lost
2nd Qualifying Final,2015-05-22,Chennai Super Kings v Royal Challengers Bangalore,Ranchi,Chennai Super Kings won by 3 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3 Wickets,Won
Final,2015-05-24,Mumbai Indians v Chennai Super Kings,Kolkata,Mumbai Indians won by 41 Runs,Mumbai Indians,Chennai Super Kings,Mumbai Indians,41 Runs,Lost
1,2016-04-09,Mumbai Indians v Rising Pune Supergiant,Mumbai,Rising Pune Supergiant won by 9 Wickets,Mumbai Indians,Pune Warriors,Pune Warriors,9 Wickets,Won
2,2016-04-10,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 9 Wickets,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,9 Wickets,Won
3,2016-04-11,Punjab Kings v Gujarat Lions,Mohali,Gujarat Lions won by 5 Wickets,Punjab Kings,Gujarat Lions,Gujarat Lions,5 Wickets,Won
4,2016-04-12,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 45 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,45 Runs,Lost
5,2016-04-13,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 6 Wickets,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,6 Wickets,Won
6,2016-04-14,Gujarat Lions v Rising Pune Supergiant,Khandheri,Gujarat Lions won by 7 Wickets,Gujarat Lions,Pune Warriors,Gujarat Lions,7 Wickets,Won
7,2016-04-15,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 8 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,8 Wickets,Won
8,2016-04-16,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 8 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,8 Wickets,Won
9,2016-04-16,Mumbai Indians v Gujarat Lions,Mumbai,Gujarat Lions won by 3 Wickets,Mumbai Indians,Gujarat Lions,Gujarat Lions,3 Wickets,Won
10,2016-04-17,Punjab Kings v Rising Pune Supergiant,Mohali,Punjab Kings won by 6 Wickets,Punjab Kings,Pune Warriors,Punjab Kings,6 Wickets,Won
11,2016-04-17,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Delhi Capitals won by 7 Wickets,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,7 Wickets,Won
12,2016-04-18,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7 Wickets,Won
13,2016-04-19,Punjab Kings v Kolkata Knight Riders,Mohali,Kolkata Knight Riders won by 7 Wickets,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
14,2016-04-20,Mumbai Indians v Royal Challengers Bangalore,Cuttack,Mumbai Indians won by 6 Wickets,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,6 Wickets,Won
15,2016-04-21,Gujarat Lions v Sunrisers Hyderabad,Khandheri,Sunrisers Hyderabad won by 10 Wickets,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,10 Wickets,Won
16,2016-04-22,Rising Pune Supergiant v Royal Challengers Bangalore,Pune,Royal Challengers Bangalore won by 13 Runs,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,13 Runs,Lost
17,2016-04-23,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 10 Runs,Delhi Capitals,Mumbai Indians,Delhi Capitals,10 Runs,Lost
18,2016-04-23,Punjab Kings v Sunrisers Hyderabad,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,5 Wickets,Won
19,2016-04-24,Gujarat Lions v Royal Challengers Bangalore,Khandheri,Gujarat Lions won by 6 Wickets,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,6 Wickets,Won
20,2016-04-24,Rising Pune Supergiant v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 2 Wickets,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,2 Wickets,Won
21,2016-04-25,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 25 Runs,Punjab Kings,Mumbai Indians,Mumbai Indians,25 Runs,Lost
22,2016-04-26,Sunrisers Hyderabad v Rising Pune Supergiant,Hyderabad,Rising Pune Supergiant won by 34 Runs [D/L],Sunrisers Hyderabad,Pune Warriors,Pune Warriors,34 Runs [D/L],Lost
23,2016-04-27,Delhi Capitals v Gujarat Lions,Delhi,Gujarat Lions won by 1 Run,Delhi Capitals,Gujarat Lions,Gujarat Lions,1 Run,Won
24,2016-04-28,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 6 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,6 Wickets,Won
25,2016-04-29,Rising Pune Supergiant v Gujarat Lions,Pune,Gujarat Lions won by 3 Wickets,Pune Warriors,Gujarat Lions,Gujarat Lions,3 Wickets,Won
26,2016-04-30,Delhi Capitals v Kolkata Knight Riders,Delhi,Delhi Capitals won by 27 Runs,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,27 Runs,Lost
27,2016-04-30,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 15 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,15 Runs,Lost
28,2016-05-01,Gujarat Lions v Punjab Kings,Khandheri,Punjab Kings won by 23 Runs,Gujarat Lions,Punjab Kings,Punjab Kings,23 Runs,Lost
29,2016-05-01,Rising Pune Supergiant v Mumbai Indians,Pune,Mumbai Indians won by 8 Wickets,Pune Warriors,Mumbai Indians,Mumbai Indians,8 Wickets,Won
30,2016-05-02,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 5 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,5 Wickets,Won
31,2016-05-03,Gujarat Lions v Delhi Capitals,Khandheri,Delhi Capitals won by 8 Wickets,Gujarat Lions,Delhi Capitals,Delhi Capitals,8 Wickets,Won
32,2016-05-04,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 7 Runs,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,7 Runs,Lost
33,2016-05-05,Delhi Capitals v Rising Pune Supergiant,Delhi,Rising Pune Supergiant won by 7 Wickets,Delhi Capitals,Pune Warriors,Pune Warriors,7 Wickets,Won
34,2016-05-06,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,5 Wickets,Won
35,2016-05-07,Royal Challengers Bangalore v Rising Pune Supergiant,Bengaluru,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,7 Wickets,Won
36,2016-05-07,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 9 Runs,Punjab Kings,Delhi Capitals,Punjab Kings,9 Runs,Lost
37,2016-05-08,Mumbai Indians v Sunrisers Hyderabad,Visakhapatnam,Sunrisers Hyderabad won by 85 Runs,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,85 Runs,Lost
38,2016-05-08,Kolkata Knight Riders v Gujarat Lions,Kolkata,Gujarat Lions won by 5 Wickets,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,5 Wickets,Won
39,2016-05-09,Punjab Kings v Royal Challengers Bangalore,Mohali,Royal Challengers Bangalore won by 1 Run,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,1 Run,Won
40,2016-05-10,Rising Pune Supergiant v Sunrisers Hyderabad,Visakhapatnam,Sunrisers Hyderabad won by 4 Runs,Pune Warriors,Sunrisers Hyderabad,Sunrisers Hyderabad,4 Runs,Lost
41,2016-05-11,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 6 Wickets,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,6 Wickets,Won
42,2016-05-12,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Delhi Capitals won by 7 Wickets,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,7 Wickets,Won
43,2016-05-13,Mumbai Indians v Punjab Kings,Visakhapatnam,Punjab Kings won by 7 Wickets,Mumbai Indians,Punjab Kings,Punjab Kings,7 Wickets,Won
44,2016-05-14,Royal Challengers Bangalore v Gujarat Lions,Bengaluru,Royal Challengers Bangalore won by 144 Runs,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,144 Runs,Lost
45,2016-05-14,Kolkata Knight Riders v Rising Pune Supergiant,Kolkata,Kolkata Knight Riders won by 8 Wickets [D/L],Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,8 Wickets [D/L],Won
46,2016-05-15,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 7 Wickets,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Wickets,Won
47,2016-05-15,Mumbai Indians v Delhi Capitals,Visakhapatnam,Mumbai Indians won by 80 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,80 Runs,Lost
48,2016-05-16,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 9 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9 Wickets,Won
49,2016-05-17,Rising Pune Supergiant v Delhi Capitals,Visakhapatnam,Rising Pune Supergiant won by 19 Runs [D/L],Pune Warriors,Delhi Capitals,Pune Warriors,19 Runs [D/L],Lost
50,2016-05-18,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Royal Challengers Bangalore won by 82 Runs [D/L],Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,82 Runs [D/L],Lost
51,2016-05-19,Gujarat Lions v Kolkata Knight Riders,Kanpur,Gujarat Lions won by 6 Wickets,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,6 Wickets,Won
52,2016-05-20,Delhi Capitals v Sunrisers Hyderabad,Raipur,Delhi Capitals won by 6 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6 Wickets,Won
53,2016-05-21,Rising Pune Supergiant v Punjab Kings,Visakhapatnam,Rising Pune Supergiant won by 4 Wickets,Pune Warriors,Punjab Kings,Pune Warriors,4 Wickets,Won
54,2016-05-21,Gujarat Lions v Mumbai Indians,Kanpur,Gujarat Lions won by 6 Wickets,Gujarat Lions,Mumbai Indians,Gujarat Lions,6 Wickets,Won
55,2016-05-22,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 22 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,22 Runs,Lost
56,2016-05-22,Delhi Capitals v Royal Challengers Bangalore,Raipur,Royal Challengers Bangalore won by 6 Wickets,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,6 Wickets,Won
1st Qualifying Final,2016-05-24,Royal Challengers Bangalore v Gujarat Lions,Bengaluru,Royal Challengers Bangalore won by 4 Wickets,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,4 Wickets,Won
Elimination Final,2016-05-25,Sunrisers Hyderabad v Kolkata Knight Riders,Delhi,Sunrisers Hyderabad won by 22 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,22 Runs,Lost
Qualifying Final,2016-05-27,Gujarat Lions v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 4 Wickets,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,4 Wickets,Won
Final,2016-05-29,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Sunrisers Hyderabad won by 8 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Runs,Lost
1,2017-04-05,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 35 Runs,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,35 Runs,Lost
2,2017-04-06,Rising Pune Supergiant v Mumbai Indians,Pune,Rising Pune Supergiant won by 7 Wickets,Pune Warriors,Mumbai Indians,Pune Warriors,7 Wickets,Won
3,2017-04-07,Gujarat Lions v Kolkata Knight Riders,Khandheri,Kolkata Knight Riders won by 10 Wickets,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,10 Wickets,Won
4,2017-04-08,Punjab Kings v Rising Pune Supergiant,Indore,Punjab Kings won by 6 Wickets,Punjab Kings,Pune Warriors,Punjab Kings,6 Wickets,Won
5,2017-04-08,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Royal Challengers Bangalore won by 15 Runs,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,15 Runs,Lost
6,2017-04-09,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad won by 9 Wickets,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,9 Wickets,Won
7,2017-04-09,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 4 Wickets,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4 Wickets,Won
8,2017-04-10,Punjab Kings v Royal Challengers Bangalore,Indore,Punjab Kings won by 8 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,8 Wickets,Won
9,2017-04-11,Rising Pune Supergiant v Delhi Capitals,Pune,Delhi Capitals won by 97 Runs,Pune Warriors,Delhi Capitals,Delhi Capitals,97 Runs,Lost
10,2017-04-12,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 4 Wickets,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,4 Wickets,Won
11,2017-04-13,Kolkata Knight Riders v Punjab Kings,Cuttack,Kolkata Knight Riders won by 8 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,8 Wickets,Won
12,2017-04-14,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 4 Wickets,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,4 Wickets,Won
13,2017-04-14,Gujarat Lions v Rising Pune Supergiant,Khandheri,Gujarat Lions won by 7 Wickets,Gujarat Lions,Pune Warriors,Gujarat Lions,7 Wickets,Won
14,2017-04-15,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 17 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,17 Runs,Lost
15,2017-04-15,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 51 Runs,Delhi Capitals,Punjab Kings,Delhi Capitals,51 Runs,Lost
16,2017-04-16,Mumbai Indians v Gujarat Lions,Mumbai,Mumbai Indians won by 6 Wickets,Mumbai Indians,Gujarat Lions,Mumbai Indians,6 Wickets,Won
17,2017-04-16,Royal Challengers Bangalore v Rising Pune Supergiant,Bengaluru,Rising Pune Supergiant won by 27 Runs,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,27 Runs,Lost
18,2017-04-17,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 4 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,4 Wickets,Won
19,2017-04-17,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5 Runs,Lost
20,2017-04-18,Gujarat Lions v Royal Challengers Bangalore,Khandheri,Royal Challengers Bangalore won by 21 Runs,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,21 Runs,Lost
21,2017-04-19,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 15 Runs,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,15 Runs,Lost
22,2017-04-20,Punjab Kings v Mumbai Indians,Indore,Mumbai Indians won by 8 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,8 Wickets,Won
23,2017-04-21,Kolkata Knight Riders v Gujarat Lions,Kolkata,Gujarat Lions won by 4 Wickets,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4 Wickets,Won
24,2017-04-22,Sunrisers Hyderabad v Rising Pune Supergiant,Pune,Rising Pune Supergiant won by 6 Wickets,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,6 Wickets,Won
25,2017-04-22,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 14 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,14 Runs,Lost
26,2017-04-22,Punjab Kings v Gujarat Lions,Khandheri,Punjab Kings won by 26 Runs,Punjab Kings,Gujarat Lions,Punjab Kings,26 Runs,Lost
27,2017-04-23,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 82 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,82 Runs,Lost
28,2017-04-24,Mumbai Indians v Rising Pune Supergiant,Mumbai,Rising Pune Supergiant won by 3 Runs,Mumbai Indians,Pune Warriors,Pune Warriors,3 Runs,Lost
30,2017-04-26,Rising Pune Supergiant v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 7 Wickets,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
31,2017-04-27,Royal Challengers Bangalore v Gujarat Lions,Bengaluru,Gujarat Lions won by 7 Wickets,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,7 Wickets,Won
32,2017-04-28,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,7 Wickets,Won
33,2017-04-28,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 26 Runs,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,26 Runs,Lost
34,2017-04-29,Rising Pune Supergiant v Royal Challengers Bangalore,Pune,Rising Pune Supergiant won by 61 Runs,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,61 Runs,Lost
35,2017-04-29,Gujarat Lions v Mumbai Indians,Khandheri,Mumbai Indians won by tie,Gujarat Lions,Mumbai Indians,Mumbai Indians,tie,Tie
36,2017-04-30,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 10 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,10 Wickets,Won
37,2017-04-30,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 48 Runs,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,48 Runs,Lost
38,2017-05-01,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,5 Wickets,Won
39,2017-05-01,Rising Pune Supergiant v Gujarat Lions,Pune,Rising Pune Supergiant won by 5 Wickets,Pune Warriors,Gujarat Lions,Pune Warriors,5 Wickets,Won
40,2017-05-02,Delhi Capitals v Sunrisers Hyderabad,Delhi,Delhi Capitals won by 6 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6 Wickets,Won
41,2017-05-03,Kolkata Knight Riders v Rising Pune Supergiant,Kolkata,Rising Pune Supergiant won by 4 Wickets,Kolkata Knight Riders,Pune Warriors,Pune Warriors,4 Wickets,Won
42,2017-05-04,Delhi Capitals v Gujarat Lions,Delhi,Delhi Capitals won by 7 Wickets,Delhi Capitals,Gujarat Lions,Delhi Capitals,7 Wickets,Won
43,2017-05-05,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 19 Runs,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,19 Runs,Lost
44,2017-05-06,Sunrisers Hyderabad v Rising Pune Supergiant,Hyderabad,Rising Pune Supergiant won by 12 Runs,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,12 Runs,Lost
45,2017-05-06,Delhi Capitals v Mumbai Indians,Cuttack,Mumbai Indians won by 146 Runs,Delhi Capitals,Mumbai Indians,Mumbai Indians,146 Runs,Lost
46,2017-05-07,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Kolkata Knight Riders won by 6 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,6 Wickets,Won
47,2017-05-07,Punjab Kings v Gujarat Lions,Mohali,Gujarat Lions won by 6 Wickets,Punjab Kings,Gujarat Lions,Gujarat Lions,6 Wickets,Won
48,2017-05-08,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7 Wickets,Won
49,2017-05-09,Punjab Kings v Kolkata Knight Riders,Mohali,Punjab Kings won by 14 Runs,Punjab Kings,Kolkata Knight Riders,Punjab Kings,14 Runs,Lost
50,2017-05-10,Gujarat Lions v Delhi Capitals,Kanpur,Delhi Capitals won by 2 Wickets,Gujarat Lions,Delhi Capitals,Delhi Capitals,2 Wickets,Won
51,2017-05-11,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 7 Runs,Mumbai Indians,Punjab Kings,Punjab Kings,7 Runs,Lost
52,2017-05-12,Delhi Capitals v Rising Pune Supergiant,Delhi,Delhi Capitals won by 7 Runs,Delhi Capitals,Pune Warriors,Delhi Capitals,7 Runs,Lost
53,2017-05-13,Gujarat Lions v Sunrisers Hyderabad,Kanpur,Sunrisers Hyderabad won by 8 Wickets,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets,Won
54,2017-05-13,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 9 Runs,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,9 Runs,Lost
