Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
376,2013-05-09,Punjab Kings v Rajasthan Royals,Mohali,Rajasthan Royals won by 8 Wickets,Punjab Kings,Rajasthan Royals,Rajasthan Royals,8 Wickets,Won
377,2013-05-09,Pune Warriors v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 46 Runs,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,46 Runs,Lost
378,2013-05-10,Royal Challengers Bangalore v Delhi Capitals,Delhi,Royal Challengers Bangalore won by 4 Runs,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,4 Runs,Lost
379,2013-05-11,Pune Warriors v Mumbai Indians,Pune,Mumbai Indians won by 5 Wickets,Pune Warriors,Mumbai Indians,Mumbai Indians,5 Wickets,Won
380,2013-05-11,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 30 Runs,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,30 Runs,Lost
381,2013-05-12,Kolkata Knight Riders v Royal Challengers Bangalore,Ranchi,Kolkata Knight Riders won by 5 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,5 Wickets,Won
382,2013-05-12,Rajasthan Royals v Chennai Super Kings,Jaipur,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,5 Wickets,Won
383,2013-05-13,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 7 Wickets,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,7 Wickets,Won
384,2013-05-14,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 7 Wickets,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,7 Wickets,Won
385,2013-05-14,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 33 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,33 Runs,Lost
386,2013-05-15,Kolkata Knight Riders v Pune Warriors,Ranchi,Pune Warriors won by 7 Runs,Kolkata Knight Riders,Pune Warriors,Pune Warriors,7 Runs,Lost
387,2013-05-15,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 14 Runs,Mumbai Indians,Rajasthan Royals,Mumbai Indians,14 Runs,Lost
388,2013-05-16,Punjab Kings v Delhi Capitals,Dharamsala,Punjab Kings won by 7 Runs,Punjab Kings,Delhi Capitals,Punjab Kings,7 Runs,Lost
389,2013-05-17,Sunrisers Hyderabad v Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 23 Runs,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,23 Runs,Lost
390,2013-05-18,Punjab Kings v Mumbai Indians,Dharamsala,Punjab Kings won by 50 Runs,Punjab Kings,Mumbai Indians,Punjab Kings,50 Runs,Lost
391,2013-05-18,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Royal Challengers Bangalore won by 24 Runs,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,24 Runs,Lost
392,2013-05-19,Pune Warriors v Delhi Capitals,Pune,Pune Warriors won by 38 Runs,Pune Warriors,Delhi Capitals,Pune Warriors,38 Runs,Lost
393,2013-05-19,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,5 Wickets,Won
394,2013-05-21,Chennai Super Kings v Mumbai Indians,Delhi,Chennai Super Kings won by 48 Runs,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,48 Runs,Lost
395,2013-05-22,Rajasthan Royals v Sunrisers Hyderabad,Delhi,Rajasthan Royals won by 4 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,4 Wickets,Won
396,2013-05-24,Mumbai Indians v Rajasthan Royals,Kolkata,Mumbai Indians won by 4 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,4 Wickets,Won
397,2013-05-26,Chennai Super Kings v Mumbai Indians,Kolkata,Mumbai Indians won by 23 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,23 Runs,Lost
398,2014-04-16,Kolkata Knight Riders v Mumbai Indians,Abu Dhabi,Kolkata Knight Riders won by 41 Runs,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,41 Runs,Lost
399,2014-04-17,Royal Challengers Bangalore v Delhi Capitals,Sharjah,Royal Challengers Bangalore won by 8 Wickets,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,8 Wickets,Won
400,2014-04-18,Chennai Super Kings v Punjab Kings,Abu Dhabi,Punjab Kings won by 6 Wickets,Chennai Super Kings,Punjab Kings,Punjab Kings,6 Wickets,Won
401,2014-04-18,Sunrisers Hyderabad v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 4 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4 Wickets,Won
402,2014-04-19,Mumbai Indians v Royal Challengers Bangalore,Dubai,Royal Challengers Bangalore won by 7 Wickets,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7 Wickets,Won
403,2014-04-19,Kolkata Knight Riders v Delhi Capitals,Dubai,Delhi Capitals won by 4 Wickets,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,4 Wickets,Won
404,2014-04-20,Rajasthan Royals v Punjab Kings,Sharjah,Punjab Kings won by 7 Wickets,Rajasthan Royals,Punjab Kings,Punjab Kings,7 Wickets,Won
405,2014-04-21,Chennai Super Kings v Delhi Capitals,Abu Dhabi,Chennai Super Kings won by 93 Runs,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,93 Runs,Lost
406,2014-04-22,Punjab Kings v Sunrisers Hyderabad,Sharjah,Punjab Kings won by 72 Runs,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,72 Runs,Lost
407,2014-04-23,Chennai Super Kings v Rajasthan Royals,Dubai,Chennai Super Kings won by 7 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7 Runs,Lost
408,2014-04-24,Royal Challengers Bangalore v Kolkata Knight Riders,Sharjah,Kolkata Knight Riders won by 2 Runs,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,2 Runs,Lost
409,2014-04-25,Sunrisers Hyderabad v Delhi Capitals,Dubai,Sunrisers Hyderabad won by 4 Runs,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,4 Runs,Lost
410,2014-04-25,Chennai Super Kings v Mumbai Indians,Dubai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,7 Wickets,Won
411,2014-04-26,Royal Challengers Bangalore v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by 6 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,6 Wickets,Won
412,2014-04-26,Kolkata Knight Riders v Punjab Kings,Abu Dhabi,Punjab Kings won by 23 Runs,Kolkata Knight Riders,Punjab Kings,Punjab Kings,23 Runs,Lost
413,2014-04-27,Delhi Capitals v Mumbai Indians,Sharjah,Delhi Capitals won by 6 Wickets,Delhi Capitals,Mumbai Indians,Delhi Capitals,6 Wickets,Won
414,2014-04-27,Sunrisers Hyderabad v Chennai Super Kings,Sharjah,Chennai Super Kings won by 5 Wickets,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,5 Wickets,Won
415,2014-04-28,Punjab Kings v Royal Challengers Bangalore,Dubai,Punjab Kings won by 5 Wickets,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,5 Wickets,Won
416,2014-04-29,Kolkata Knight Riders v Rajasthan Royals,Abu Dhabi,Rajasthan Royals won by Boundary Count,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Boundary Count,Lost
417,2014-04-30,Mumbai Indians v Sunrisers Hyderabad,Dubai,Sunrisers Hyderabad won by 15 Runs,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,15 Runs,Lost
418,2014-05-02,Chennai Super Kings v Kolkata Knight Riders,Ranchi,Chennai Super Kings won by 34 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,34 Runs,Lost
419,2014-05-03,Mumbai Indians v Punjab Kings,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Punjab Kings,Mumbai Indians,5 Wickets,Won
420,2014-05-03,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 7 Wickets,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,7 Wickets,Won
421,2014-05-04,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 4 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,4 Wickets,Won
422,2014-05-05,Rajasthan Royals v Kolkata Knight Riders,Ahmedabad,Rajasthan Royals won by 10 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,10 Runs,Lost
423,2014-05-05,Delhi Capitals v Chennai Super Kings,Delhi,Chennai Super Kings won by 8 Wickets,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,8 Wickets,Won
424,2014-05-06,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Mumbai Indians won by 19 Runs,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,19 Runs,Lost
425,2014-05-07,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 8 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,8 Wickets,Won
426,2014-05-07,Punjab Kings v Chennai Super Kings,Cuttack,Punjab Kings won by 44 Runs,Punjab Kings,Chennai Super Kings,Punjab Kings,44 Runs,Lost
427,2014-05-08,Sunrisers Hyderabad v Rajasthan Royals,Ahmedabad,Sunrisers Hyderabad won by 32 Runs,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,32 Runs,Lost
428,2014-05-09,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Punjab Kings won by 32 Runs,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,32 Runs,Lost
429,2014-05-10,Delhi Capitals v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 8 Wickets [D/L],Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets [D/L],Won
430,2014-05-10,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 4 Wickets,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,4 Wickets,Won
431,2014-05-11,Kolkata Knight Riders v Punjab Kings,Cuttack,Kolkata Knight Riders won by 9 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,9 Wickets,Won
432,2014-05-11,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Rajasthan Royals won by 5 Wickets,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,5 Wickets,Won
433,2014-05-12,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 7 Wickets,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,7 Wickets,Won
434,2014-05-13,Chennai Super Kings v Rajasthan Royals,Ranchi,Chennai Super Kings won by 5 Wickets,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,5 Wickets,Won
435,2014-05-13,Royal Challengers Bangalore v Delhi Capitals,Bengaluru,Royal Challengers Bangalore won by 16 Runs,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,16 Runs,Lost
436,2014-05-14,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Punjab Kings won by 6 Wickets,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,6 Wickets,Won
437,2014-05-14,Kolkata Knight Riders v Mumbai Indians,Cuttack,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,6 Wickets,Won
438,2014-05-15,Rajasthan Royals v Delhi Capitals,Ahmedabad,Rajasthan Royals won by 62 Runs,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,62 Runs,Lost
439,2014-05-18,Chennai Super Kings v Royal Challengers Bangalore,Ranchi,Royal Challengers Bangalore won by 5 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
440,2014-05-18,Sunrisers Hyderabad v Kolkata Knight Riders,Hyderabad,Kolkata Knight Riders won by 7 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7 Wickets,Won
441,2014-05-19,Rajasthan Royals v Mumbai Indians,Ahmedabad,Mumbai Indians won by 25 Runs,Rajasthan Royals,Mumbai Indians,Mumbai Indians,25 Runs,Lost
442,2014-05-19,Delhi Capitals v Punjab Kings,Delhi,Punjab Kings won by 4 Wickets,Delhi Capitals,Punjab Kings,Punjab Kings,4 Wickets,Won
443,2014-05-20,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 7 Wickets,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,7 Wickets,Won
444,2014-05-20,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 8 Wickets,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,8 Wickets,Won
445,2014-05-21,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 7 Wickets,Punjab Kings,Mumbai Indians,Mumbai Indians,7 Wickets,Won
446,2014-05-22,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 30 Runs,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,30 Runs,Lost
447,2014-05-22,Chennai Super Kings v Sunrisers Hyderabad,Ranchi,Sunrisers Hyderabad won by 6 Wickets,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Wickets,Won
448,2014-05-23,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 15 Runs,Mumbai Indians,Delhi Capitals,Mumbai Indians,15 Runs,Lost
449,2014-05-23,Punjab Kings v Rajasthan Royals,Mohali,Punjab Kings won by 16 Runs,Punjab Kings,Rajasthan Royals,Punjab Kings,16 Runs,Lost
450,2014-05-24,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 8 Wickets,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8 Wickets,Won
451,2014-05-24,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 4 Wickets,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,4 Wickets,Won
452,2014-05-25,Punjab Kings v Delhi Capitals,Mohali,Punjab Kings won by 7 Wickets,Punjab Kings,Delhi Capitals,Punjab Kings,7 Wickets,Won
453,2014-05-25,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Rajasthan Royals,Mumbai Indians,5 Wickets,Won
454,2014-05-28,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 7 Wickets,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 Wickets,Won
455,2014-05-28,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 28 Runs,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,28 Runs,Lost
456,2014-05-30,Chennai Super Kings v Punjab Kings,Mumbai,Punjab Kings won by 24 Runs,Chennai Super Kings,Punjab Kings,Punjab Kings,24 Runs,Lost
457,2014-06-01,Kolkata Knight Riders v Punjab Kings,Bengaluru,Kolkata Knight Riders won by 3 Wickets,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,3 Wickets,Won
458,2015-04-08,Kolkata Knight Riders v Mumbai Indians,Kolkata,Kolkata Knight Riders won by 3 Wickets,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,3 Wickets,Won
459,2015-04-09,Chennai Super Kings v Delhi Capitals,Chennai,Chennai Super Kings won by 1 Run,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1 Run,Won
460,2015-04-10,Punjab Kings v Rajasthan Royals,Pune,Rajasthan Royals won by 26 Runs,Punjab Kings,Rajasthan Royals,Rajasthan Royals,26 Runs,Lost
461,2015-04-11,Chennai Super Kings v Sunrisers Hyderabad,Chennai,Chennai Super Kings won by 45 Runs,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,45 Runs,Lost
462,2015-04-11,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 3 Wickets,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,3 Wickets,Won
463,2015-04-12,Delhi Capitals v Rajasthan Royals,Delhi,Rajasthan Royals won by 3 Wickets,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,3 Wickets,Won
464,2015-04-12,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 18 Runs,Mumbai Indians,Punjab Kings,Punjab Kings,18 Runs,Lost
465,2015-04-13,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Sunrisers Hyderabad won by 8 Wickets,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8 Wickets,Won
466,2015-04-14,Rajasthan Royals v Mumbai Indians,Ahmedabad,Rajasthan Royals won by 7 Wickets,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,7 Wickets,Won
467,2015-04-15,Punjab Kings v Delhi Capitals,Pune,Delhi Capitals won by 5 Wickets,Punjab Kings,Delhi Capitals,Delhi Capitals,5 Wickets,Won
468,2015-04-16,Sunrisers Hyderabad v Rajasthan Royals,Visakhapatnam,Rajasthan Royals won by 6 Wickets,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,6 Wickets,Won
469,2015-04-17,Mumbai Indians v Chennai Super Kings,Mumbai,Chennai Super Kings won by 6 Wickets,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,6 Wickets,Won
470,2015-04-18,Sunrisers Hyderabad v Delhi Capitals,Visakhapatnam,Delhi Capitals won by 4 Runs,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,4 Runs,Lost
471,2015-04-18,Punjab Kings v Kolkata Knight Riders,Pune,Kolkata Knight Riders won by 4 Wickets,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,4 Wickets,Won
472,2015-04-19,Rajasthan Royals v Chennai Super Kings,Ahmedabad,Rajasthan Royals won by 8 Wickets,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,8 Wickets,Won
473,2015-04-19,Royal Challengers Bangalore v Mumbai Indians,Bengaluru,Mumbai Indians won by 18 Runs,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,18 Runs,Lost
474,2015-04-20,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 6 Wickets,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,6 Wickets,Won
475,2015-04-21,Rajasthan Royals v Punjab Kings,Ahmedabad,Punjab Kings won by Super Over,Rajasthan Royals,Punjab Kings,Punjab Kings,Super Over,Won
476,2015-04-22,Sunrisers Hyderabad v Kolkata Knight Riders,Visakhapatnam,Sunrisers Hyderabad won by 16 Runs [D/L],Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,16 Runs [D/L],Lost
477,2015-04-22,Royal Challengers Bangalore v Chennai Super Kings,Bengaluru,Chennai Super Kings won by 27 Runs,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,27 Runs,Lost
478,2015-04-23,Delhi Capitals v Mumbai Indians,Delhi,Delhi Capitals won by 37 Runs,Delhi Capitals,Mumbai Indians,Delhi Capitals,37 Runs,Lost
479,2015-04-24,Rajasthan Royals v Royal Challengers Bangalore,Ahmedabad,Royal Challengers Bangalore won by 9 Wickets,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9 Wickets,Won
480,2015-04-25,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 20 Runs,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,20 Runs,Lost
481,2015-04-25,Chennai Super Kings v Punjab Kings,Chennai,Chennai Super Kings won by 97 Runs,Chennai Super Kings,Punjab Kings,Chennai Super Kings,97 Runs,Lost
482,2015-04-26,Delhi Capitals v Royal Challengers Bangalore,Delhi,Royal Challengers Bangalore won by 10 Wickets,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,10 Wickets,Won
483,2015-04-27,Punjab Kings v Sunrisers Hyderabad,Mohali,Sunrisers Hyderabad won by 20 Runs,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,20 Runs,Lost
484,2015-04-28,Chennai Super Kings v Kolkata Knight Riders,Chennai,Chennai Super Kings won by 2 Runs,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,2 Runs,Lost
485,2015-04-30,Kolkata Knight Riders v Chennai Super Kings,Kolkata,Kolkata Knight Riders won by 7 Wickets,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,7 Wickets,Won
486,2015-05-01,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 9 Wickets,Delhi Capitals,Punjab Kings,Delhi Capitals,9 Wickets,Won
487,2015-05-01,Mumbai Indians v Rajasthan Royals,Mumbai,Mumbai Indians won by 8 Runs,Mumbai Indians,Rajasthan Royals,Mumbai Indians,8 Runs,Lost
488,2015-05-02,Royal Challengers Bangalore v Kolkata Knight Riders,Bengaluru,Royal Challengers Bangalore won by 7 Wickets,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,7 Wickets,Won
489,2015-05-02,Sunrisers Hyderabad v Chennai Super Kings,Hyderabad,Sunrisers Hyderabad won by 22 Runs,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,22 Runs,Lost
490,2015-05-03,Punjab Kings v Mumbai Indians,Mohali,Mumbai Indians won by 23 Runs,Punjab Kings,Mumbai Indians,Mumbai Indians,23 Runs,Lost
491,2015-05-03,Rajasthan Royals v Delhi Capitals,Mumbai,Rajasthan Royals won by 14 Runs,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,14 Runs,Lost
492,2015-05-04,Chennai Super Kings v Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 24 Runs,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,24 Runs,Lost
493,2015-05-04,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 35 Runs,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,35 Runs,Lost
494,2015-05-05,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 5 Wickets,Mumbai Indians,Delhi Capitals,Mumbai Indians,5 Wickets,Won
495,2015-05-06,Royal Challengers Bangalore v Punjab Kings,Bengaluru,Royal Challengers Bangalore won by 138 Runs,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,138 Runs,Lost
496,2015-05-07,Rajasthan Royals v Sunrisers Hyderabad,Mumbai,Sunrisers Hyderabad won by 7 Runs,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,7 Runs,Lost
497,2015-05-07,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 13 Runs,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,13 Runs,Lost
498,2015-05-08,Chennai Super Kings v Mumbai Indians,Chennai,Mumbai Indians won by 6 Wickets,Chennai Super Kings,Mumbai Indians,Mumbai Indians,6 Wickets,Won
499,2015-05-09,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 1 Wicket,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,1 Wicket,Won
500,2015-05-09,Delhi Capitals v Sunrisers Hyderabad,Raipur,Sunrisers Hyderabad won by 6 Runs,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,6 Runs,Lost
501,2015-05-10,Mumbai Indians v Royal Challengers Bangalore,Mumbai,Royal Challengers Bangalore won by 39 Runs,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,39 Runs,Lost
502,2015-05-10,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 12 Runs,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,12 Runs,Lost
503,2015-05-11,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Runs,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,5 Runs,Lost
504,2015-05-12,Delhi Capitals v Chennai Super Kings,Raipur,Delhi Capitals won by 6 Wickets,Delhi Capitals,Chennai Super Kings,Delhi Capitals,6 Wickets,Won
505,2015-05-13,Punjab Kings v Royal Challengers Bangalore,Mohali,Punjab Kings won by 22 Runs,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,22 Runs,Lost
506,2015-05-14,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 5 Runs,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,5 Runs,Lost
507,2015-05-15,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Royal Challengers Bangalore won by 6 Wickets [D/L],Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,6 Wickets [D/L],Won
508,2015-05-16,Punjab Kings v Chennai Super Kings,Mohali,Chennai Super Kings won by 7 Wickets,Punjab Kings,Chennai Super Kings,Chennai Super Kings,7 Wickets,Won
509,2015-05-16,Rajasthan Royals v Kolkata Knight Riders,Mumbai,Rajasthan Royals won by 9 Runs,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,9 Runs,Lost
510,2015-05-17,Sunrisers Hyderabad v Mumbai Indians,Hyderabad,Mumbai Indians won by 9 Wickets,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,9 Wickets,Won
511,2015-05-19,Chennai Super Kings v Mumbai Indians,Mumbai,Mumbai Indians won by 25 Runs,Chennai Super Kings,Mumbai Indians,Mumbai Indians,25 Runs,Lost
512,2015-05-20,Royal Challengers Bangalore v Rajasthan Royals,Pune,Royal Challengers Bangalore won by 71 Runs,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,71 Runs,Lost
513,2015-05-22,Chennai Super Kings v Royal Challengers Bangalore,Ranchi,Chennai Super Kings won by 3 Wickets,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,3 Wickets,Won
514,2015-05-24,Mumbai Indians v Chennai Super Kings,Kolkata,Mumbai Indians won by 41 Runs,Mumbai Indians,Chennai Super Kings,Mumbai Indians,41 Runs,Lost
515,2016-04-09,Mumbai Indians v Rising Pune Supergiant,Mumbai,Rising Pune Supergiant won by 9 Wickets,Mumbai Indians,Pune Warriors,Pune Warriors,9 Wickets,Won
516,2016-04-10,Kolkata Knight Riders v Delhi Capitals,Kolkata,Kolkata Knight Riders won by 9 Wickets,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,9 Wickets,Won
517,2016-04-11,Punjab Kings v Gujarat Lions,Mohali,Gujarat Lions won by 5 Wickets,Punjab Kings,Gujarat Lions,Gujarat Lions,5 Wickets,Won
518,2016-04-12,Royal Challengers Bangalore v Sunrisers Hyderabad,Bengaluru,Royal Challengers Bangalore won by 45 Runs,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,45 Runs,Lost
519,2016-04-13,Kolkata Knight Riders v Mumbai Indians,Kolkata,Mumbai Indians won by 6 Wickets,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,6 Wickets,Won
520,2016-04-14,Gujarat Lions v Rising Pune Supergiant,Khandheri,Gujarat Lions won by 7 Wickets,Gujarat Lions,Pune Warriors,Gujarat Lions,7 Wickets,Won
