Match,Date,Teams,Ground,Result,Team1,Team2,Winner,Win by,Chasing Team
265,2012-04-15,Royal Challengers Bangalore v Rajasthan Royals,Bengaluru,Rajasthan Royals won by 59 Runs,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,59 Runs,Lost
266,2012-04-16,Mumbai Indians v Delhi Capitals,Mumbai,Delhi Capitals won by 7 Wickets,Mumbai Indians,Delhi Capitals,Delhi Capitals,7 Wickets,Won
267,2012-04-17,Rajasthan Royals v Deccan Chargers,Jaipur,Rajasthan Royals won by 5 Wickets,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,5 Wickets,Won
268,2012-04-17,Royal Challengers Bangalore v Pune Warriors,Bengaluru,Royal Challengers Bangalore won by 6 Wickets,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,6 Wickets,Won
269,2012-04-18,Punjab Kings v Kolkata Knight Riders,Mohali,Kolkata Knight Riders won by 8 Wickets,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,8 Wickets,Won
270,2012-04-19,Delhi Capitals v Deccan Chargers,Delhi,Delhi Capitals won by 5 Wickets,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,5 Wickets,Won
271,2012-04-19,Chennai Super Kings v Pune Warriors,Chennai,Chennai Super Kings won by 13 Runs,Chennai Super Kings,Pune Warriors,Chennai Super Kings,13 Runs,Lost
272,2012-04-20,Punjab Kings v Royal Challengers Bangalore,Mohali,Royal Challengers Bangalore won by 5 Wickets,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,5 Wickets,Won
273,2012-04-21,Chennai Super Kings v Rajasthan Royals,Chennai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,7 Wickets,Won
274,2012-04-21,Delhi Capitals v Pune Warriors,Delhi,Pune Warriors won by 20 Runs,Delhi Capitals,Pune Warriors,Pune Warriors,20 Runs,Lost
275,2012-04-22,Mumbai Indians v Punjab Kings,Mumbai,Punjab Kings won by 6 Wickets,Mumbai Indians,Punjab Kings,Punjab Kings,6 Wickets,Won
276,2012-04-22,Deccan Chargers v Kolkata Knight Riders,Cuttack,Kolkata Knight Riders won by 5 Wickets,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,5 Wickets,Won
