Match,Date,Ground,Team1,Team2,Winner,Win by,Opponent,Day,csk
722,2019-04-14,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chasing,Kolkata Knight Riders,Sunday,1
726,2019-04-17,Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Chasing,Sunrisers Hyderabad,Wednesday,0
732,2019-04-21,Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chasing,Royal Challengers Bangalore,Sunday,0
734,2019-04-23,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Chasing,Sunrisers Hyderabad,Tuesday,1
737,2019-04-26,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,1st Batting,Mumbai Indians,Friday,0
742,2019-05-01,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,1st Batting,Delhi Capitals,Wednesday,1
747,2019-05-05,Mohali,Punjab Kings,Chennai Super Kings,Punjab Kings,Chasing,Punjab Kings,Sunday,0
749,2019-05-07,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chasing,Mumbai Indians,Tuesday,0
751,2019-05-10,Visakhapatnam,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chasing,Delhi Capitals,Friday,1
752,2019-05-12,Hyderabad,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chasing,Mumbai Indians,Sunday,0
753,2020-09-19,Abu Dhabi,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chasing,Mumbai Indians,Saturday,1
756,2020-09-22,Sharjah,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,1st Batting,Rajasthan Royals,Tuesday,0
759,2020-09-25,Dubai,Chennai Super Kings,Delhi Capitals,Delhi Capitals,1st Batting,Delhi Capitals,Friday,0
766,2020-10-02,Dubai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,1st Batting,Sunrisers Hyderabad,Friday,0
770,2020-10-04,Dubai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chasing,Punjab Kings,Sunday,1
773,2020-10-07,Abu Dhabi,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,1st Batting,Kolkata Knight Riders,Wednesday,0
777,2020-10-10,Dubai,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,1st Batting,Royal Challengers Bangalore,Saturday,0
