,Match,Date,Teams,Ground,Result
31,32,04/05/2016,Kolkata Knight Riders v Punjab Kings,Kolkata,Kolkata Knight Riders won by 7 Runs
32,33,05/05/2016,Delhi Capitals v Rising Pune Supergiant,Delhi,Rising Pune Supergiant won by 7 Wickets
33,34,06/05/2016,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad won by 5 Wickets
34,35,07/05/2016,Royal Challengers Bangalore v Rising Pune Supergiant,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 7 Wickets
35,36,07/05/2016,Punjab Kings v Delhi Capitals,"Mohali, Chandigarh",Punjab Kings won by 9 Runs
36,37,08/05/2016,Mumbai Indians v Sunrisers Hyderabad,Visakhapatnam,Sunrisers Hyderabad won by 85 Runs
37,38,08/05/2016,Kolkata Knight Riders v Gujarat Lions,Kolkata,Gujarat Lions won by 5 Wickets
38,39,09/05/2016,Punjab Kings v Royal Challengers Bangalore,"Mohali, Chandigarh",Royal Challengers Bangalore won by 1 Run
39,40,10/05/2016,Rising Pune Supergiant v Sunrisers Hyderabad,Visakhapatnam,Sunrisers Hyderabad won by 4 Runs
40,41,11/05/2016,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 6 Wickets
41,42,12/05/2016,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Delhi Capitals won by 7 Wickets
42,43,13/05/2016,Mumbai Indians v Punjab Kings,Visakhapatnam,Punjab Kings won by 7 Wickets
43,44,14/05/2016,Royal Challengers Bangalore v Gujarat Lions,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 144 Runs
44,45,14/05/2016,Kolkata Knight Riders v Rising Pune Supergiant,Kolkata,Kolkata Knight Riders won by 8 Wickets [D/L]
45,46,15/05/2016,Punjab Kings v Sunrisers Hyderabad,"Mohali, Chandigarh",Sunrisers Hyderabad won by 7 Wickets
46,47,15/05/2016,Mumbai Indians v Delhi Capitals,Visakhapatnam,Mumbai Indians won by 80 Runs
47,48,16/05/2016,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Royal Challengers Bangalore won by 9 Wickets
48,49,17/05/2016,Rising Pune Supergiant v Delhi Capitals,Visakhapatnam,Rising Pune Supergiant won by 19 Runs [D/L]
49,50,18/05/2016,Royal Challengers Bangalore v Punjab Kings,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 82 Runs [D/L]
50,51,19/05/2016,Gujarat Lions v Kolkata Knight Riders,Kanpur,Gujarat Lions won by 6 Wickets
51,52,20/05/2016,Delhi Capitals v Sunrisers Hyderabad,Raipur,Delhi Capitals won by 6 Wickets
52,53,21/05/2016,Rising Pune Supergiant v Punjab Kings,Visakhapatnam,Rising Pune Supergiant won by 4 Wickets
53,54,21/05/2016,Gujarat Lions v Mumbai Indians,Kanpur,Gujarat Lions won by 6 Wickets
54,55,22/05/2016,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 22 Runs
55,56,22/05/2016,Delhi Capitals v Royal Challengers Bangalore,Raipur,Royal Challengers Bangalore won by 6 Wickets
56,1st Qualifying Final,24/05/2016,Royal Challengers Bangalore v Gujarat Lions,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 4 Wickets
57,Elimination Final,25/05/2016,Sunrisers Hyderabad v Kolkata Knight Riders,Delhi,Sunrisers Hyderabad won by 22 Runs
58,Qualifying Final,27/05/2016,Gujarat Lions v Sunrisers Hyderabad,Delhi,Sunrisers Hyderabad won by 4 Wickets
59,Final,29/05/2016,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Sunrisers Hyderabad won by 8 Runs
0,1,05/04/2017,Sunrisers Hyderabad v Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 35 Runs
1,2,06/04/2017,Rising Pune Supergiant v Mumbai Indians,Pune,Rising Pune Supergiant won by 7 Wickets
2,3,07/04/2017,Gujarat Lions v Kolkata Knight Riders,"Khandheri, Rajkot",Kolkata Knight Riders won by 10 Wickets
3,4,08/04/2017,Punjab Kings v Rising Pune Supergiant,Indore,Punjab Kings won by 6 Wickets
4,5,08/04/2017,Royal Challengers Bangalore v Delhi Capitals,"Bengaluru, Bangalore",Royal Challengers Bangalore won by 15 Runs
5,6,09/04/2017,Sunrisers Hyderabad v Gujarat Lions,Hyderabad,Sunrisers Hyderabad won by 9 Wickets
6,7,09/04/2017,Mumbai Indians v Kolkata Knight Riders,Mumbai,Mumbai Indians won by 4 Wickets
7,8,10/04/2017,Punjab Kings v Royal Challengers Bangalore,Indore,Punjab Kings won by 8 Wickets
8,9,11/04/2017,Rising Pune Supergiant v Delhi Capitals,Pune,Delhi Capitals won by 97 Runs
9,10,12/04/2017,Mumbai Indians v Sunrisers Hyderabad,Mumbai,Mumbai Indians won by 4 Wickets
10,11,13/04/2017,Kolkata Knight Riders v Punjab Kings,Cuttack,Kolkata Knight Riders won by 8 Wickets
11,12,14/04/2017,Royal Challengers Bangalore v Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 4 Wickets
12,13,14/04/2017,Gujarat Lions v Rising Pune Supergiant,"Khandheri, Rajkot",Gujarat Lions won by 7 Wickets
13,14,15/04/2017,Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 17 Runs
14,15,15/04/2017,Delhi Capitals v Punjab Kings,Delhi,Delhi Capitals won by 51 Runs
15,16,16/04/2017,Mumbai Indians v Gujarat Lions,Mumbai,Mumbai Indians won by 6 Wickets
16,17,16/04/2017,Royal Challengers Bangalore v Rising Pune Supergiant,"Bengaluru, Bangalore",Rising Pune Supergiant won by 27 Runs
17,18,17/04/2017,Delhi Capitals v Kolkata Knight Riders,Delhi,Kolkata Knight Riders won by 4 Wickets
18,19,17/04/2017,Sunrisers Hyderabad v Punjab Kings,Hyderabad,Sunrisers Hyderabad won by 5 Runs
19,20,18/04/2017,Gujarat Lions v Royal Challengers Bangalore,"Khandheri, Rajkot",Royal Challengers Bangalore won by 21 Runs
20,21,19/04/2017,Sunrisers Hyderabad v Delhi Capitals,Hyderabad,Sunrisers Hyderabad won by 15 Runs
21,22,20/04/2017,Punjab Kings v Mumbai Indians,Indore,Mumbai Indians won by 8 Wickets
22,23,21/04/2017,Kolkata Knight Riders v Gujarat Lions,Kolkata,Gujarat Lions won by 4 Wickets
23,24,22/04/2017,Sunrisers Hyderabad v Rising Pune Supergiant,Pune,Rising Pune Supergiant won by 6 Wickets
24,25,22/04/2017,Mumbai Indians v Delhi Capitals,Mumbai,Mumbai Indians won by 14 Runs
25,26,22/04/2017,Punjab Kings v Gujarat Lions,"Khandheri, Rajkot",Punjab Kings won by 26 Runs
26,27,23/04/2017,Kolkata Knight Riders v Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders won by 82 Runs
27,28,24/04/2017,Mumbai Indians v Rising Pune Supergiant,Mumbai,Rising Pune Supergiant won by 3 Runs
28,29,25/04/2017,Royal Challengers Bangalore v Sunrisers Hyderabad,"Bengaluru, Bangalore",Match abandoned
